EQUIPMENT_NUMBER,ORDER_TYPE,DESIR,MRMIN,MRMAX,MRNGU,CJUMP,PYEAR,INDCT,READG,MEASUREMENT_DATE,Previous Order Date,MEASUREMENT_YEAR,MEASUREMENT_MONTH
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.9,3,-1854,2004,3
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.0,14,-1896,2004,4
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.1,14,-1896,2004,4
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.2,17,-1929,2004,5
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.9,17,-1929,2004,5
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.1,18,-1961,2004,6
0,3,0.0,0.0,0.0,0,0.0,0.0,1,-0.1,26,-1999,2004,7
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.7,26,-1999,2004,7
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.0,6,-2041,2004,9
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.1,6,-2041,2004,9
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.0,12,-2077,2004,10
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.0,16,-2112,2004,11
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.0,16,-2112,2004,11
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.3,16,-2142,2004,12
0,3,0.0,0.0,0.0,0,0.0,0.0,1,101.3,16,-2142,2004,12
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.1,17,-2174,2005,1
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.0,17,-2205,2005,2
0,3,0.0,0.0,0.0,0,0.0,0.0,1,101.1,17,-2205,2005,2
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.1,23,-2239,2005,3
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.7999999999999,23,-2239,2005,3
0,3,0.0,0.0,0.0,0,0.0,0.0,1,100.2,10,-2287,2005,5
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.2,3,-2311,2005,6
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.7999999999999,3,-2311,2005,6
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.0,11,-2349,2005,7
0,3,0.0,0.0,0.0,0,0.0,0.0,1,101.1,11,-2349,2005,7
0,3,0.0,0.0,0.0,0,0.0,0.0,1,98.7,12,-2381,2005,8
0,3,0.0,0.0,0.0,0,0.0,0.0,1,-0.599999999999999,21,-2421,2005,9
0,3,0.0,0.0,0.0,0,0.0,0.0,1,101.1,21,-2421,2005,9
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.1,25,-2455,2005,10
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.9,25,-2455,2005,10
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.0,28,-2489,2005,11
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.9,7,-2588,2006,3
0,3,0.0,0.0,0.0,0,0.0,0.0,1,-0.2,11,-2623,2006,4
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.1,11,-2623,2006,4
0,3,0.0,0.0,0.0,0,0.0,0.0,1,-0.8,15,-2657,2006,5
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.0,15,-2657,2006,5
0,3,0.0,0.0,0.0,0,0.0,0.0,1,98.7,20,-2693,2006,6
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.0,20,-2723,2006,7
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.7999999999999,20,-2723,2006,7
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.0,24,-2758,2006,8
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.0,24,-2758,2006,8
0,3,0.0,0.0,0.0,0,0.0,0.0,1,99.4,12,-2807,2006,10
0,3,0.0,0.0,0.0,0,0.0,0.0,1,-0.001,17,-2843,2006,11
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.004,17,-2843,2006,11
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.0,19,-2875,2006,12
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.999,19,-2875,2006,12
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.999,16,-2903,2007,1
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.011,19,-2937,2007,2
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.0,19,-2937,2007,2
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.012,23,-2969,2007,3
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.001,23,-2969,2007,3
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.998,25,-3002,2007,4
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.001,6,-3044,2007,6
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.999,6,-3044,2007,6
0,3,0.0,0.0,0.0,0,0.0,0.0,1,-0.002,4,-3072,2007,7
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.998,4,-3072,2007,7
0,3,0.0,0.0,0.0,0,0.0,0.0,1,1.01,2,-3101,2007,8
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.011,12,-4299,2010,11
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.990999999999999,12,-4299,2010,11
0,3,0.0,0.0,0.0,0,0.0,0.0,1,0.999,12,-4299,2010,11
1,2,0.0,0.0,0.0,2,0.0,9000000.0,0,3600.0,1,-205,2006,1
1,2,0.0,0.0,0.0,2,0.0,9000000.0,0,162000.0,21,-225,2006,1
1,2,0.0,0.0,0.0,2,0.0,9000000.0,0,201600.0,11,-274,2006,3
1,2,0.0,0.0,0.0,2,0.0,9000000.0,0,1080000.0,21,-284,2006,3
